Central Address Residence - zona 13 Septembrie-Marriott-Viilor-Carol,224 400 €,"Bucuresti, Sectorul 5",132 m²,https://www.storia.ro/ro/oferta/central-address-residence-zona-13-septembrie-marriott-viilor-carol-IDmf8R.html
Onix Park North (apartament 2 camere de vanzare),155 000 €,"Bucuresti, Sectorul 1",,https://www.olx.ro/d/oferta/onix-park-north-apartament-2-camere-de-vanzare-IDjxd9d.html
3 camere centrala proprie Rahova B6,85 000 €,"Bucuresti, Sectorul 5",63 m²,https://www.storia.ro/ro/oferta/3-camere-centrala-proprie-rahova-b6-IDF42y.html
Apartament 2 camere-Mobilat-Militari Residence-Comision 0%,81 000 €,"Bucuresti, Sectorul 6",50 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-mobilat-militari-residence-comision-0-IDFp4C.html
Apartament Smart Home cu 3 camere pe bd. Ion Mihalache,129 000 €,"Bucuresti, Sectorul 1",60 m²,https://www.storia.ro/ro/oferta/apartament-smart-home-cu-3-camere-pe-bd-ion-mihalache-IDEx50.html
"DE VANZARE APARTAMENT Calea Dudesti, sector 3","130 000 €
Prețul e negociabil","Bucuresti, Sectorul 3",55 m²,https://www.olx.ro/d/oferta/de-vanzare-apartament-calea-dudesti-sector-3-IDjUwTb.html
Apartament 3 camere langa padurea Chiajna Direct Dezvoltator MIlitari,100 625 €,Chiajna,78 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-langa-padurea-chiajna-direct-dezvoltator-militari-IDDFSb.html
"Ap. 3 camere, Direct Dezvoltator-Pret Corect, TVA inclus Weiner Palada",86 000 €,"Bucuresti, Sectorul 6",67 m²,https://www.storia.ro/ro/oferta/ap-3-camere-direct-dezvoltator-pret-corect-tva-inclus-weiner-palada-IDF1Sd.html
Apartament 2 camere Otopeni | comision 0 - de la dezvoltator,74 320 €,Otopeni,50 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-otopeni-comision-0-de-la-dezvoltator-IDF3ad.html
Apartament 4 camere Colentina B4,119 999 €,"Bucuresti, Sectorul 2",91 m²,https://www.storia.ro/ro/oferta/apartament-4-camere-colentina-b4-IDEBLD.html
Apartament 3 camere bloc 2015 Andronache total renovat | Curte comuna,192 000 €,"Bucuresti, Sectorul 2",80 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-bloc-2015-andronache-total-renovat-curte-comuna-IDEpFA.html
"Apartament 3 camere Metrou ""Dimitrie Leonida """,126 500 €,Popesti,62 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-metrou-dimitrie-leonida-IDESQa.html
2 camere BragadiruCristalului inc pardo mutare rapida rate dezvoltator,81 888 €,Bragadiru,54 m²,https://www.storia.ro/ro/oferta/2-camere-bragadirucristalului-inc-pardo-mutare-rapida-rate-dezvoltator-IDAQeT.html
PROPRIETAR- Apartament 2 camere decomandat-Drumul Taberei Parc/Plazza,127 000 €,"Bucuresti, Sectorul 6",49 m²,https://www.storia.ro/ro/oferta/proprietar-apartament-2-camere-decomandat-drumul-taberei-parc-plazza-IDF5Bf.html
Apartament 2 camere decomandat mobilat și utilat / N-uri A500,89 999 €,"Bucuresti, Sectorul 6",54 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-mobilat-i-utilat-n-uri-a500-IDEZFO.html
Apartament 2 camere decomandat mobilat și utilat Gorjului / N-uri A500,89 999 €,"Bucuresti, Sectorul 6",54 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-mobilat-i-utilat-gorjului-n-uri-a500-IDEZG1.html
